i	zi	first_occurence	hsk1	hsk2	hsk3	hsk4	hsk5	hsk6	nhsk1	nhsk2	nhsk3	nhsk4	nhsk5	nhsk6	stront1	weeb1
59	前	hsk1	前面		以前	提前	从前; 目前; 前途	当前; 跟前; 空前绝后; 前景; 前提; 先前	前; 前边; 前天	面前; 前年; 以前	从前; 目前; 前后; 前进; 前面; 前往; 提前; 眼前	前头; 前途; 之前	当前; 跟前; 年前; 前景; 前提; 先前; 向前	此前; 前方; 前来	到他跟前; 一年半前; 以前; 前男友; 一直往前走; 前排; 几个星期前; 在他成名前，他曾以卖艺为生	前方高能
60	面	hsk1	前面; 后面	面条	见面; 面包	对面; 方面	表面; 面对; 面临; 片面; 面积; 全面	侧面; 场面; 当面; 反面; 局面; 面貌; 面子; 平面; 书面; 体面; 迎面	见面; 面包; 面条儿	对面; 方便面; 方面; 面¹; 面²; 面前	表面; 后面; 里面; 另一方面; 面对; 面积; 前面; 全面; 上面; 外面; 下面; 一方面	地面; 面临; 面试; 片面	场面; 画面; 局面; 面貌; 面子	表面上; 层面; 出面; 多方面; 面对面; 面向	有面子; 意大利面; 字面意思; 面试; 泡面; 对面; 正后面; 面团; 揉面团	我下面给你吃; 我不要面子的啊; 求
61	后	hsk1	后面		后来; 然后; 最后	后悔	后背; 落后; 后果	后代; 后顾之忧; 后勤; 皇后; 空前绝后; 争先恐后	后; 后边; 后天; 最后	后来; 今后; 然后; 以后	背后; 后果; 后面; 后年; 落后; 前后	后头; 之后	此后; 后悔; 随后; 先后	过后; 事后; 王后; 往后	两年后; 之后; 后院; 最后一秒; 后排; 正后面; 后果; 后果很严重	建国后不许成精; 先马后看
62	里	hsk1	里			公里		里程碑	家里; 里; 里边; 哪里; 那里; 这里	公里; 里头; 头; 心里; 夜里	里面	手里; 眼里	城里		在这张照片里; 进这里来; 在她的情况里; 心里不舒服; 村里	好看的皮囊千篇一律，有趣的灵魂万里挑一; 每一个抖腿爱好者的心里.; 好看的皮囊千篇一律，有趣的灵魂万里挑一
63	今	hsk1	今天				如今; 至今	迄今为止	今年; 今天	今后	至今	如今	今日			今日份; 大吉大利，今晚吃鸡
64	天	hsk1	今天; 明天; 昨天; 天气		聊天	礼拜天	天空; 天真	成天; 得天独厚; 航天; 天才; 天伦之乐; 天然气; 天生; 天堂; 天赋; 天文	白天; 半天; 后天; 今天; 明天; 前天; 天; 天气; 星期天; 昨天	春天; 冬天; 晴天; 秋天; 天上; 夏天; 阴天	天空; 整天	天真	天才; 天然气; 天文	当天; 蓝天; 聊天儿; 天然; 天堂; 天下	我昨天作业没写得很好; 阴天; 下有苏杭，上有天堂; 天气预报; 夏天; 白天的时候; 天使; 春天; 秋天; 冬天; 天气; 堕落天使	怼天怼地; 作天作地; 聊天终结者; 天命圈; 天菜; 天仙攻; 逆天改命; 普天同庆; 天啦噜; 你咋不上天呢; 会聊天; 不会聊天
65	明	hsk1	明天		聪明; 明白	说明; 证明	光明; 明确; 明显; 表明; 发明; 明星; 透明; 文明	分明; 高明; 开明; 黎明; 明明; 明智; 声明; 鲜明; 英明	明白; 明年; 明天	明星; 说明	表明; 发明; 光明; 明确; 明显; 声明; 文明; 证明	透明; 鲜明	聪明; 明亮; 明明	明日; 清明节; 三明治; 说明书	小明花钱花得非常多; 小明钱比小李花得多得多; 孔明灯; 刘明苏; 明年; 明显; 明明; 证明	小透明; 你还记得大明湖畔的。。。吗; 明明可以靠脸吃饭,
66	昨	hsk1	昨天						昨天						我昨天作业没写得很好	
67	午	hsk1	上午; 中午; 下午					端午节	上午; 午饭; 下午; 中午	午餐; 午睡				端午节		
68	年	hsk1	年	去年	年级; 年轻	年龄	年代; 年纪; 青少年	拜年; 连年; 年度; 周年; 逐年	半年; 今年; 明年; 年; 去年; 新年	过年; 老年; 年级; 年轻; 前年; 青年; 青少年; 全年; 少年; 中年; 周年	后年; 年初; 年代; 年底; 年纪	多年; 童年; 学年	当年; 年度; 年龄; 年前	常年; 往年	两年后; 二十年; 周年纪念日; 一年半前; 成年人; 大家都是成年人了，...; 过新年; 年末; 去年; 明年; 一年四季; 未来的十年	愿你出走半生，归来仍是少年; 这种男友不分留著过年么; 腿玩年; 斜杠青年; 暴露年龄; 佛系青年; 毁童年
69	月	hsk1	月		月亮			日新月异; 岁月; 正月	月	月份; 月亮		上个月; 下个月; 月底	岁月; 月饼; 月球		月饼; 月末; 蜜月期	
70	号	hsk1	号			号码	挂号; 信号	称号; 符号; 号召	号	信号		符号; 号码; 括号; 型号	称号; 号召; 口号	车号	标点符号	炸号; 高仿号; 黑人问号
71	星	hsk1	星期				明星	零星; 卫星	星期; 星期日; 星期天	明星; 星星			卫星	歌星; 球星; 影星	他们下个星期就要结婚了。; 五星; 几个星期前	追星; 佛系追星; 火星哥; 追星狗; 喵星人
72	期	hsk1	星期			学期	期待; 过期; 期间; 日期; 时期	定期; 期望; 期限; 为期; 延期; 预期; 周期	日期; 星期; 星期日; 星期天	假期; 学期	长期; 定期; 短期; 近期; 期	期待; 期间; 期末; 期限; 期中; 延期	初期; 期望; 为期; 预期; 早期; 周期	本期; 到期; 时期; 同期; 中期	他们下个星期就要结婚了。; 期待; 蜜月期; 民国时期; 几个星期前; 过期	
73	分	hsk1	分钟		分	百分之; 部分; 十分	充分; 分布; 分手; 成分; 分别; 分配; 分析; 过分	处分; 分辨; 分寸; 分红; 分解; 分裂; 分泌; 分明; 分歧; 分散; 分量; 划分; 区分; 万分	分	部分; 大部分; 分; 分开; 分数; 分钟; 十分; 一部分	得分; 分别; 分配; 分组	比分; 充分; 分布; 分散; 分手; 分为; ; 过分; 学分	处分; 分成; 分解; 分类; 分离; 分析; 分享; 划分; 水分	百分点; 成分; 分工; 分裂; 区分	百分之二十; 迟到十分钟; 分开; 药店离我家走路五分钟; 大部分; 开过分的玩笑; 百分之; 让人分心; 分担; 百分比; 你太过分了; 过分了; 这么说太过分了	低分飘过; 嫉妒使我质壁分离; 这种男友不分留著过年么; 送分题; 佛系分手; 这句话我给满分; 精分; 分分钟
74	钟	hsk1	分钟							分钟	钟	闹钟		钟头	迟到十分钟; 药店离我家走路五分钟; 闹钟	钟黑; 笑得像钟汉良一样; 分分钟
75	现	hsk1	现在		发现	出现; 现金	表现; 现象; 实现; 体现; 现代; 现实	呈现; 兑现; 现场; 现成; 现状; 涌现; 展现	现在	出现; 发现; 实现	表现; 化; 体现; 现场; 现代; 现金; 现实; 现象		现有; 现状; 展现		现代; 出现; 现象	现充; 奔现
76	候	hsk1	时候			气候	问候	伺候; 等候; 候选	时候; 有时候｜有时	那时候｜那时; 小时候; 这时候｜这时	气候	问候	等候		小时候; 到时候; ...的时候; 什么时候？; 白天的时候; 候选人; 气候变化; 当...的时候	这位同学，我装逼的时候，请你不要说话
77	时	hsk1	时候	小时; 时间		按时; 当时; 及时; 平时; 同时; 暂时; 准时	临时; 时代; 时髦; 时尚; 时差; 时刻; 时期; 随时	不时; 顿时; 时常; 时而; 时光; 时机; 时事	时候; 时间; 小时; 有时候｜有时	当时; 那时候｜那时; 平时; 随时; 同时; 小时候; 这时候｜这时	及时; 时; 时代; 时刻	按时; 临时; 学时; 准时	不时; 此时; 时常; 时光; 时机; 时事; 暂时	定时; 过时; 时而; 时节; 时期; 时时; 时装; 一时	小时候; 时间; 到时候; 即使我学一门很简单的语言，也需要很长时间。; ...的时候; 什么时候？; 冬令时; 时区; 白天的时候; 民国时期; 在当地时间; 当...的时候; 当时; 时尚; 时代广场	这位同学，我装逼的时候，请你不要说话; 贤者时间; 高光时刻
78	爸	hsk1	爸爸						爸爸｜爸						我爸爸去世了，我很心痛	爸爸
79	妈	hsk1	妈妈						妈妈｜妈			大妈			看我的妈妈; 妈妈一起床就做早饭	擦妈; 亲妈粉; 宝妈; 妈卖批; 妈妈问我为什么跪著看。。。
80	子	hsk1	儿子; 杯子; 桌子; 椅子	妻子; 孩子	鼻子; 电子邮件; 个子; 句子; 裤子; 筷子; 帽子; 盘子; 瓶子; 裙子	包子; 肚子; 盒子; 饺子; 镜子; 勺子; 孙子; 袜子; 小伙子; 样子; 叶子	被子; 叉子; 尺子; 猴子; 桔子; 嗓子; 狮子; 兔子; 竹子; 脖子; 管子; 夹子; 日子; 扇子; 绳子; 梳子; 王子; 屋子; 一辈子; 影子	辫子; 鸽子; 钩子; 君子; 面子; 曲子; 嫂子; 亭子; 侄子; 种子; 子弹	包子; 杯子; 本子; 儿子; 房子; 孩子; 桌子; 子	个子; 饺子; 句子; 筷子; 例子; 瓶子; 日子; 样子; 椅子; 院子	被子; 电子邮件; 裤子; 男子; 女子; 牌子; 裙子; 沙子; 屋子; 种子; 子女	尺子; 虫子; 窗子; 肚子; 镜子; 轮子; 帽子; 盘子; 胖子; 妻子; 刷子; 孙子; 袜子; 箱子; 小伙子; 叶子; 影子	鼻子; 叉子; 池子; 电子版; 柜子; 盒子; 胡子; 剪子; 面子; 脑子; 骗子; 扇子; 鸭子; 一辈子; 一下子; 竹子; 子弹	父子; 稿子; 母子; 茄子; 王子; 柱子	有面子; 例子; 妻子; 橙子; 柿子; 软柿子; 房子; 丈夫和妻子; 戴帽子/口罩/手表/围巾/眼镜; 穿衣服/; 电子表格; 脱帽子; 叶子华; 没带脑子; 脖子; 鼻子; 打开窗子; 种子; 一把椅子; 一条裙子; 一条裤子; 一张桌子; 柚子; 旗子; 球芽甘蓝/抱子甘蓝; 骗子; 桌子; 很会过日子; 过日子; 电子产品; 帖子; 牌子; 租房子; 一栋房子; 一套房子; 料子; 垫子; 村子; 酒香不怕巷子深	电子呕吐物; 大猪蹄子; 陌上人如玉，公子世无双; 傻麅子; 脑子瓦特了; 救救孩子; 种子; 地主家的傻儿子; 脑子瓦特; 栗子; 我不要面子的啊; 劳资; 手撕鬼子; 喷子; 黑子; 小李子; 上辈子拯救了银河系; 段子手
81	女	hsk1	女儿	女人			女士; 妇女		女; 女儿; 女孩儿; 女朋友; 女人; 女生		女子; 子女	美女; 男女; 女士; 孙女	儿女; 女性	父女; 妇女; 母女	我叫女朋友教我中文。; 我的女朋友让我喝酒。; 陪女朋友吃饭	已婚少女; 镇魂女孩; 处女脸; 太阳女神; 老夫的少女心; 女权癌; 女权婊; 中华田园女权; 女票; 网瘾少女; 女频; 做一个精致的猪猪女孩; 白毛女; 猪精女孩; 女司机; 小仙女; 爱笑的女孩运气不会太差; 少女心; 男神经; 剩女; 直女癌; 孔雀女; 森女; 男神/女神; 少女心收割机; 腐女
82	老	hsk1	老师		老	老虎	老板; 老鼠; 老百姓; 老实; 老婆	衰老	老; 老人; 老师	老; 老; 老年; 老朋友; 老是	老百姓; 老板; 老太太; 老头儿	老公; 老家; 老婆; 老实	古老	老乡; 养老	老公; 老板; 老公和老婆; 老总; 老实; 养老院; 老百姓	居老师; 汤老湿; 老湿; 老板; 老鹿蹒跚; 老夫的少女心; 何老师; 陈老师; 老白; 扎心了，老铁; 劳资; 老干部; 老司机; 隔壁老王; 国民老公
83	师	hsk1	老师			律师; 师傅	工程师	师范	老师	教师	工程师	律师	摄影师; 师傅	厨师; 大师; 设计师; 师父; 师生	《离婚律师》; 爱师克; 律师; 工程师	居老师; 得罪造型师; 何老师; 陈老师
84	生	hsk1	学生; 医生; 先生	生日; 生病	生气	出生; 发生; 生活; 生命; 生意; 卫生间	产生; 花生; 人生; 生动; 生长; 陌生; 生产	诞生; 生存; 生机; 生理; 生疏; 生态; 生物; 生肖; 生效; 生锈; 生育; 天生; 维生素; 自力更生	大学生; 男生; 女生; 生病; 生气; 生日; 先生; 小学生; 学生; 医生; 中学生	出生; 考生; 留学生; 生; 生词; 生活; 一生	产生; 发生; 人生; 生; 生产; 生存; 生动; 生命; 生意; 生长; 卫生; 卫生间	毕业生; 研究生	生成; 招生	诞生; 花生; 生活费; 师生; 维生素; 野生; 再生	发生; 成为一个医生; 出生; 先生和太太; 生日卡; 我快要生气了; 生病; 生日聚会; 人生的酸甜苦辣; 有规律的生活; 共同生活; 生活; 生存; 生活习惯; 蓬荜生辉; 生活质量; 改善生活习惯; 生活方式; 生活要有仪式感; 日常生活; 以...为生; 在他成名前，他曾以卖艺为生; 精致的生活	脆皮大学生; sk; 求生欲; 愿你出走半生，归来仍是少年; 流量小生; 生无可恋; 生肉; 聊聊人生; 用生命在; 人生赢家; 逆生长; 人生苦短，必须性感
85	同	hsk1	同学		同事; 同意	共同; 同时; 同情; 相同	合同; 胡同	连同; 同胞; 同志	同学	不同; 同时; 同事; 同样; 相同	共同; 同意	合同; 同情	胡同儿; 如同	陪同; 认同; 同; 同胞; 同行; 同期; 同一; 一同	同意; 共同爱好; 共同话题; 共同朋友; 共同敌人; 共同生活; 共同努力; 胡同; 同义词; 同性恋; 认同	全靠同行衬托; 不能同意更多; 这位同学，我装逼的时候，请你不要说话; 神同步; 土木三班陈同学; 普天同庆; 同人; 同框
86	朋	hsk1	朋友						们; 男朋友; 女朋友; 朋友; 小朋友	交朋友; 老朋友					我叫女朋友教我中文。; 我的女朋友让我喝酒。; 陪女朋友吃饭; 过朋友家去; 朋友对我说; 共同朋友; 朋友圈	pyq:; 不装逼我们还是好朋友
87	友	hsk1	朋友			友好; 友谊			们; 男朋友; 女朋友; 朋友; 网友; 小朋友	交朋友; 老朋友; 友好		好友	友谊	战友	我叫女朋友教我中文。; 我的女朋友让我喝酒。; 陪女朋友吃饭; 室友; 前男友; 过朋友家去; 朋友对我说; 共同朋友; 友好; 朋友圈	pyq:; 这种男友不分留著过年么; 旁友; 胖友; 道友; 不装逼我们还是好朋友; 男友力; 男友力MAX; 友尽
88	先	hsk1	先生		先	首先	事先	领先; 先进; 先前; 优先; 预先; 原先; 争先恐后; 祖先	先; 先生		领先; 首先; 先进	事先; 率先	先后; 先前; 优先; 原先	先锋	先生和太太; 先干为敬	首先你要有个。。。; 先森; 先马后看
89	姐	hsk1	小姐	姐姐					姐姐｜姐; 小姐			大姐; 姐妹				小孩哥/姐; 上头姐妹; 结石姐; 社会我X哥/姐; 大表姐; 塑料花姐妹情; 寡姐; 劳模姐; 水果姐
90	小	hsk1	小姐; 小	小时	小心	小吃; 小伙子; 小说	小气; 胆小鬼; 小麦	渺小; 小心翼翼	小; 小孩儿; 小姐; 小朋友; 小时; 小学; 小学生	从小; 大小; 小; 小声; 小时候; 小说; 小心; 小组; 中小学		矮小; 缩小; 小吃; 小伙子; 小型	胆小; 小偷儿	小费; 小麦; 小于	小时候; 看我的小猫让我很开心。; 小费; 小明花钱花得非常多; 小明钱比小李花得多得多; 小腿; 小偷; ; 小扁豆; 小柴胡	小孩哥/姐; 定一个小目标; 谁还不是小公主咋的; 小言; 激情小短片; 磨人的小妖精; 小狼狗; 小透明; 小奶狗; 小确丧; 小仙女; 流量小生; 流量小花; 小白; 小黄书; 小李子; 我伙呆; 小公举; 小婊砸; 小确幸; 小鲜肉; 小清新
91	衣	hsk1	衣服					衣裳	衣服	大衣; 洗衣机	衬衣; 上衣; 衣架	毛衣		内衣; 外衣; 洗衣粉; 雨衣	穿衣服/; 休闲的衣服; 白色的衣服很容易脏; 一件衣服; 卫衣; 毛衣; 大衣; 羽衣甘蓝; 睡衣	
92	服	hsk1	衣服	服务员	舒服		说服; 服装; 克服; 佩服	服从; 服气; 屈服; 羽绒服; 征服; 制服	衣服	服务; 舒服	服装; 克服; 员	说服; 征服	服从; 羽绒服	服	服务; 服务员; 穿衣服/; 休闲的衣服; 白色的衣服很容易脏; 一件衣服; 不舒服; 心里不舒服	不服憋著; 不服来战; 不扶墙就服你
93	水	hsk1	水; 水果		水平	矿泉水	开水; 胶水	淡水; 洪水; 墨水儿; 潜水; 水利; 水龙头; 水泥; 薪水	水; 水果	水平; 药水	凉水	纯净水; 海水; 开水; 矿泉水; 泪水; 汽水	胶水; 水产品; 水分; 水库; 水灾; 污水; 雨水	洪水; 酒水; 冷水; 墨水; 热水; 热水器; 水泥; 跳水; 薪水; 自来水	交水电费; 欧洲的水电费比美国的要贵; 水很深; 心水; 心水很高; 自来水; 挑水; 提高汉语水平; 付水电费	水果姐; 水逆; 自来水; 灌水; 水军; 落水
